研究标题,研究领域,研究类型,发表期刊,发表年份,发表月份,影响因子,样本量,研究机构,第一作者,通讯作者,基金支持,关键词,数据来源,更新时间
消化病学领域病例报告研究第130项,消化病学,病例报告,复旦学报(医学版),2022,1,12.12,9047,复旦大学,作者130,通讯作者130,省部级基金,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肾脏病学领域病例对照研究研究第131项,肾脏病学,病例对照研究,中国医学科学院学报,2020,1,8.63,8988,北京大学,作者131,通讯作者131,国家自然科学基金,"肾脏病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域流行病学调查研究第132项,皮肤病学,流行病学调查,JAMA,2024,1,12.2,4125,北京大学,作者132,通讯作者132,国家自然科学基金,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肾脏病学领域病例报告研究第133项,肾脏病学,病例报告,New England Journal of Medicine,2023,10,14.47,842,清华大学,作者133,通讯作者133,无,"肾脏病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域队列研究研究第134项,口腔医学,队列研究,The Lancet,2021,5,12.7,5491,清华大学,作者134,通讯作者134,国家重点研发计划,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域临床试验研究第135项,神经病学,临床试验,Nature Medicine,2022,7,21.35,3619,中山大学,作者135,通讯作者135,国家自然科学基金,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域病例报告研究第136项,神经病学,病例报告,中华医学杂志,2024,5,3.51,1382,复旦大学,作者136,通讯作者136,国家自然科学基金,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域系统综述研究第137项,神经病学,系统综述,Nature Medicine,2021,3,23.24,4644,清华大学,作者137,通讯作者137,国家重点研发计划,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域基础研究研究第138项,肿瘤学,基础研究,New England Journal of Medicine,2023,1,21.13,1022,清华大学,作者138,通讯作者138,国家自然科学基金,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域基础研究研究第139项,肿瘤学,基础研究,Science,2023,7,20.99,4592,中山大学,作者139,通讯作者139,国家自然科学基金,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肾脏病学领域病例对照研究研究第140项,肾脏病学,病例对照研究,New England Journal of Medicine,2024,12,5.49,5285,北京大学,作者140,通讯作者140,国家重点研发计划,"肾脏病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域临床试验研究第141项,口腔医学,临床试验,中华医学杂志,2023,3,4.46,3320,华中科技大学,作者141,通讯作者141,无,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域Meta分析研究第142项,妇产科学,Meta分析,中国医学科学院学报,2021,4,19.26,3488,复旦大学,作者142,通讯作者142,国家重点研发计划,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域Meta分析研究第143项,影像医学,Meta分析,Science,2023,11,4.24,5165,复旦大学,作者143,通讯作者143,省部级基金,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域基础研究研究第144项,精神病学,基础研究,Science,2022,9,4.18,138,复旦大学,作者144,通讯作者144,省部级基金,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域病例报告研究第145项,儿科学,病例报告,JAMA,2024,2,8.45,9552,复旦大学,作者145,通讯作者145,无,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域基础研究研究第146项,口腔医学,基础研究,北京大学学报(医学版),2024,11,10.74,912,华中科技大学,作者146,通讯作者146,省部级基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域系统综述研究第147项,风湿免疫学,系统综述,Science,2024,8,14.47,9005,复旦大学,作者147,通讯作者147,省部级基金,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
眼科学领域流行病学调查研究第148项,眼科学,流行病学调查,Cell,2021,1,14.93,7798,中山大学,作者148,通讯作者148,国家重点研发计划,"眼科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
呼吸病学领域临床试验研究第149项,呼吸病学,临床试验,Cell,2022,6,4.81,3490,清华大学,作者149,通讯作者149,国家自然科学基金,"呼吸病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域流行病学调查研究第150项,消化病学,流行病学调查,BMJ,2020,2,23.19,4166,华中科技大学,作者150,通讯作者150,国家自然科学基金,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
血液病学领域病例报告研究第151项,血液病学,病例报告,Science,2020,3,15.89,5259,清华大学,作者151,通讯作者151,无,"血液病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域临床试验研究第152项,耳鼻喉科学,临床试验,New England Journal of Medicine,2022,12,12.1,7319,中山大学,作者152,通讯作者152,无,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域Meta分析研究第153项,口腔医学,Meta分析,中国医学科学院学报,2020,10,20.22,2283,华中科技大学,作者153,通讯作者153,国家自然科学基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域病例对照研究研究第154项,精神病学,病例对照研究,Cell,2021,3,9.43,5046,华中科技大学,作者154,通讯作者154,国家重点研发计划,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域基础研究研究第155项,风湿免疫学,基础研究,JAMA,2024,9,11.07,6242,华中科技大学,作者155,通讯作者155,国家自然科学基金,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域流行病学调查研究第156项,口腔医学,流行病学调查,中华医学杂志,2021,1,23.05,5545,华中科技大学,作者156,通讯作者156,国家自然科学基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域病例对照研究研究第157项,皮肤病学,病例对照研究,中国医学科学院学报,2022,3,8.36,2678,北京大学,作者157,通讯作者157,无,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肾脏病学领域Meta分析研究第158项,肾脏病学,Meta分析,JAMA,2020,5,4.51,5258,清华大学,作者158,通讯作者158,国家自然科学基金,"肾脏病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域流行病学调查研究第159项,妇产科学,流行病学调查,Nature Medicine,2022,3,19.75,2140,华中科技大学,作者159,通讯作者159,无,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域基础研究研究第160项,耳鼻喉科学,基础研究,北京大学学报(医学版),2020,10,17.85,1743,中山大学,作者160,通讯作者160,国家重点研发计划,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域病例报告研究第161项,风湿免疫学,病例报告,复旦学报(医学版),2021,6,5.3,9245,华中科技大学,作者161,通讯作者161,国家自然科学基金,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域流行病学调查研究第162项,麻醉学,流行病学调查,北京大学学报(医学版),2021,4,8.44,7447,北京大学,作者162,通讯作者162,国家自然科学基金,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
血液病学领域Meta分析研究第163项,血液病学,Meta分析,New England Journal of Medicine,2020,6,19.12,1666,华中科技大学,作者163,通讯作者163,无,"血液病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域系统综述研究第164项,麻醉学,系统综述,中华医学杂志,2020,3,12.46,9033,复旦大学,作者164,通讯作者164,国家自然科学基金,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
血液病学领域临床试验研究第165项,血液病学,临床试验,中华医学杂志,2022,9,7.21,3764,中山大学,作者165,通讯作者165,国家自然科学基金,"血液病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域队列研究研究第166项,耳鼻喉科学,队列研究,BMJ,2020,9,13.35,220,复旦大学,作者166,通讯作者166,省部级基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域临床试验研究第167项,皮肤病学,临床试验,Cell,2024,7,17.49,8386,复旦大学,作者167,通讯作者167,国家自然科学基金,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域病例报告研究第168项,儿科学,病例报告,中华医学杂志,2020,6,18.63,8971,北京大学,作者168,通讯作者168,无,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域病例对照研究研究第169项,麻醉学,病例对照研究,Cell,2022,9,6.89,5238,华中科技大学,作者169,通讯作者169,省部级基金,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域系统综述研究第170项,影像医学,系统综述,JAMA,2020,12,8.3,6777,复旦大学,作者170,通讯作者170,省部级基金,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
呼吸病学领域临床试验研究第171项,呼吸病学,临床试验,复旦学报(医学版),2024,12,10.26,3671,清华大学,作者171,通讯作者171,省部级基金,"呼吸病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域系统综述研究第172项,神经病学,系统综述,复旦学报(医学版),2023,11,16.79,9702,清华大学,作者172,通讯作者172,国家重点研发计划,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
血液病学领域病例报告研究第173项,血液病学,病例报告,Science,2022,9,15.39,3572,中山大学,作者173,通讯作者173,省部级基金,"血液病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域队列研究研究第174项,耳鼻喉科学,队列研究,New England Journal of Medicine,2022,3,17.08,8832,华中科技大学,作者174,通讯作者174,无,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
呼吸病学领域病例报告研究第175项,呼吸病学,病例报告,中华医学杂志,2020,9,6.47,1575,北京大学,作者175,通讯作者175,省部级基金,"呼吸病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域流行病学调查研究第176项,内分泌学,流行病学调查,JAMA,2021,1,24.3,4711,中山大学,作者176,通讯作者176,国家自然科学基金,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域队列研究研究第177项,神经病学,队列研究,北京大学学报(医学版),2022,1,5.2,2827,中山大学,作者177,通讯作者177,无,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域基础研究研究第178项,消化病学,基础研究,中国医学科学院学报,2023,10,8.81,9468,清华大学,作者178,通讯作者178,无,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域流行病学调查研究第179项,耳鼻喉科学,流行病学调查,北京大学学报(医学版),2024,6,14.21,4589,清华大学,作者179,通讯作者179,无,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域病例对照研究研究第180项,外科学,病例对照研究,中国医学科学院学报,2024,10,23.76,8151,华中科技大学,作者180,通讯作者180,国家自然科学基金,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域系统综述研究第181项,神经病学,系统综述,中国医学科学院学报,2020,3,12.41,9288,中山大学,作者181,通讯作者181,国家重点研发计划,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
外科学领域基础研究研究第182项,外科学,基础研究,北京大学学报(医学版),2021,2,20.12,4574,中山大学,作者182,通讯作者182,国家重点研发计划,"外科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域临床试验研究第183项,耳鼻喉科学,临床试验,北京大学学报(医学版),2023,10,4.1,985,华中科技大学,作者183,通讯作者183,省部级基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域病例对照研究研究第184项,儿科学,病例对照研究,Cell,2021,4,9.82,1883,中山大学,作者184,通讯作者184,国家重点研发计划,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
心血管病学领域Meta分析研究第185项,心血管病学,Meta分析,中国医学科学院学报,2023,5,18.63,9355,复旦大学,作者185,通讯作者185,国家自然科学基金,"心血管病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域病例对照研究研究第186项,儿科学,病例对照研究,The Lancet,2022,8,11.14,2726,北京大学,作者186,通讯作者186,省部级基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域病例报告研究第187项,神经病学,病例报告,中国医学科学院学报,2021,4,9.73,7281,中山大学,作者187,通讯作者187,省部级基金,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
神经病学领域病例对照研究研究第188项,神经病学,病例对照研究,Nature Medicine,2020,9,14.51,2923,北京大学,作者188,通讯作者188,无,"神经病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域Meta分析研究第189项,肿瘤学,Meta分析,New England Journal of Medicine,2023,4,1.63,8368,中山大学,作者189,通讯作者189,国家自然科学基金,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
感染病学领域系统综述研究第190项,感染病学,系统综述,中华医学杂志,2020,12,23.61,743,清华大学,作者190,通讯作者190,省部级基金,"感染病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域基础研究研究第191项,影像医学,基础研究,New England Journal of Medicine,2020,7,6.88,2356,清华大学,作者191,通讯作者191,国家重点研发计划,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
皮肤病学领域系统综述研究第192项,皮肤病学,系统综述,复旦学报(医学版),2020,5,4.5,7864,华中科技大学,作者192,通讯作者192,无,"皮肤病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域病例报告研究第193项,妇产科学,病例报告,Cell,2022,5,15.26,9008,华中科技大学,作者193,通讯作者193,国家重点研发计划,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域Meta分析研究第194项,口腔医学,Meta分析,BMJ,2020,3,17.53,3779,复旦大学,作者194,通讯作者194,国家自然科学基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域流行病学调查研究第195项,消化病学,流行病学调查,JAMA,2024,3,22.1,7918,中山大学,作者195,通讯作者195,无,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域病例报告研究第196项,肿瘤学,病例报告,New England Journal of Medicine,2021,11,1.71,1515,中山大学,作者196,通讯作者196,无,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
消化病学领域Meta分析研究第197项,消化病学,Meta分析,中华医学杂志,2020,12,6.75,5902,北京大学,作者197,通讯作者197,国家自然科学基金,"消化病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
口腔医学领域病例报告研究第198项,口腔医学,病例报告,北京大学学报(医学版),2022,11,5.02,2079,复旦大学,作者198,通讯作者198,省部级基金,"口腔医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
影像医学领域病例对照研究研究第199项,影像医学,病例对照研究,Cell,2024,3,11.64,5562,复旦大学,作者199,通讯作者199,省部级基金,"影像医学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
心血管病学领域流行病学调查研究第200项,心血管病学,流行病学调查,中华医学杂志,2024,4,13.25,887,北京大学,作者200,通讯作者200,无,"心血管病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
