政策标题,文号,发布日期,政策类型,发布部门,实施日期,政策级别,适用范围,数据来源,年份,更新时间
关于推进医保政策发展的指导意见,国卫发〔2022〕186号,2022-12-11,医保政策,各省卫健委,2022-01-01,省级,试点地区,政策文件库,2022,2025-06-12 22:43:39
公共卫生实施方案,国卫发〔2022〕011号,2022-11-19,公共卫生,各省卫健委,2022-12-01,国家级,全国,政策文件库,2022,2025-06-12 22:43:39
公共卫生实施方案,医政发〔2022〕093号,2022-12-27,公共卫生,国家医保局,2022-01-01,省级,特定机构,政策文件库,2022,2025-06-12 22:43:39
公共卫生管理办法,医政发〔2022〕087号,2022-06-14,公共卫生,国家卫健委,2022-07-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于规范公共卫生的规定,药监发〔2022〕097号,2022-12-23,公共卫生,各省卫健委,2022-01-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于推进公共卫生发展的指导意见,药监发〔2022〕160号,2022-03-13,公共卫生,国家卫健委,2022-04-01,国家级,试点地区,政策文件库,2022,2025-06-12 22:43:39
关于推进公共卫生发展的指导意见,医政发〔2022〕027号,2022-09-02,公共卫生,国家卫健委,2022-10-01,市级,试点地区,政策文件库,2022,2025-06-12 22:43:39
公共卫生管理办法,卫健发〔2022〕128号,2022-07-02,公共卫生,各省卫健委,2022-08-01,市级,全国,政策文件库,2022,2025-06-12 22:43:39
关于推进公共卫生发展的指导意见,卫健发〔2022〕107号,2022-11-28,公共卫生,国家药监局,2022-12-01,市级,试点地区,政策文件库,2022,2025-06-12 22:43:39
关于医院管理工作的通知,卫健发〔2022〕082号,2022-07-08,医院管理,国家医保局,2022-08-01,国家级,全国,政策文件库,2022,2025-06-12 22:43:39
关于医院管理工作的通知,国卫发〔2022〕108号,2022-06-07,医院管理,国家卫健委,2022-07-01,国家级,试点地区,政策文件库,2022,2025-06-12 22:43:39
医院管理实施方案,医政发〔2022〕126号,2022-06-06,医院管理,国家药监局,2022-07-01,省级,试点地区,政策文件库,2022,2025-06-12 22:43:39
医院管理监督管理办法,药监发〔2022〕101号,2022-07-15,医院管理,国家卫健委,2022-08-01,市级,特定机构,政策文件库,2022,2025-06-12 22:43:39
医院管理监督管理办法,医政发〔2022〕194号,2022-06-06,医院管理,国家卫健委,2022-07-01,市级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于加强医院管理管理的意见,卫健发〔2022〕028号,2022-01-17,医院管理,国家药监局,2022-02-01,省级,试点地区,政策文件库,2022,2025-06-12 22:43:39
医院管理监督管理办法,药监发〔2022〕187号,2022-07-17,医院管理,国家医保局,2022-08-01,国家级,试点地区,政策文件库,2022,2025-06-12 22:43:39
医院管理管理办法,药监发〔2022〕156号,2022-03-13,医院管理,各省卫健委,2022-04-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
医师管理管理办法,卫健发〔2022〕046号,2022-06-02,医师管理,国家药监局,2022-07-01,市级,特定机构,政策文件库,2022,2025-06-12 22:43:39
医师管理监督管理办法,药监发〔2022〕009号,2022-11-21,医师管理,国家卫健委,2022-12-01,省级,全国,政策文件库,2022,2025-06-12 22:43:39
关于加强医师管理管理的意见,国卫发〔2022〕046号,2022-04-25,医师管理,各省卫健委,2022-05-01,市级,全国,政策文件库,2022,2025-06-12 22:43:39
医师管理监督管理办法,医政发〔2022〕039号,2022-10-23,医师管理,国家药监局,2022-11-01,省级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于规范医师管理的规定,医政发〔2022〕045号,2022-07-11,医师管理,国家药监局,2022-08-01,省级,特定机构,政策文件库,2022,2025-06-12 22:43:39
医师管理实施方案,医政发〔2022〕078号,2022-02-18,医师管理,国家卫健委,2022-03-01,省级,试点地区,政策文件库,2022,2025-06-12 22:43:39
关于规范护理管理的规定,医政发〔2022〕193号,2022-06-03,护理管理,各省卫健委,2022-07-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
护理管理管理办法,卫健发〔2022〕030号,2022-11-23,护理管理,国家药监局,2022-12-01,市级,全国,政策文件库,2022,2025-06-12 22:43:39
护理管理监督管理办法,卫健发〔2022〕045号,2022-08-19,护理管理,国家卫健委,2022-09-01,国家级,试点地区,政策文件库,2022,2025-06-12 22:43:39
关于规范护理管理的规定,药监发〔2022〕076号,2022-10-20,护理管理,国家卫健委,2022-11-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
护理管理监督管理办法,医政发〔2022〕139号,2022-09-15,护理管理,各省卫健委,2022-10-01,国家级,试点地区,政策文件库,2022,2025-06-12 22:43:39
关于加强护理管理管理的意见,医政发〔2022〕024号,2022-12-02,护理管理,各省卫健委,2022-01-01,市级,试点地区,政策文件库,2022,2025-06-12 22:43:39
护理管理监督管理办法,卫健发〔2022〕122号,2022-05-01,护理管理,国家卫健委,2022-06-01,国家级,试点地区,政策文件库,2022,2025-06-12 22:43:39
中医药实施方案,医政发〔2022〕134号,2022-02-08,中医药,国家卫健委,2022-03-01,国家级,全国,政策文件库,2022,2025-06-12 22:43:39
关于规范中医药的规定,医政发〔2022〕052号,2022-01-14,中医药,各省卫健委,2022-02-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于规范中医药的规定,医政发〔2022〕189号,2022-05-06,中医药,国家医保局,2022-06-01,市级,特定机构,政策文件库,2022,2025-06-12 22:43:39
中医药实施方案,医政发〔2022〕106号,2022-05-04,中医药,各省卫健委,2022-06-01,省级,试点地区,政策文件库,2022,2025-06-12 22:43:39
关于中医药工作的通知,医政发〔2022〕079号,2022-12-02,中医药,国家药监局,2022-01-01,省级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于推进中医药发展的指导意见,医政发〔2022〕114号,2022-05-17,中医药,各省卫健委,2022-06-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于规范中医药的规定,国卫发〔2022〕061号,2022-04-22,中医药,国家卫健委,2022-05-01,市级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于疾病防控工作的通知,国卫发〔2022〕172号,2022-05-13,疾病防控,国家卫健委,2022-06-01,省级,特定机构,政策文件库,2022,2025-06-12 22:43:39
疾病防控实施方案,国卫发〔2022〕032号,2022-05-10,疾病防控,各省卫健委,2022-06-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
疾病防控实施方案,国卫发〔2022〕118号,2022-05-19,疾病防控,各省卫健委,2022-06-01,省级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于疾病防控工作的通知,国卫发〔2022〕073号,2022-07-05,疾病防控,国家卫健委,2022-08-01,省级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于疾病防控工作的通知,卫健发〔2022〕183号,2022-01-16,疾病防控,各省卫健委,2022-02-01,市级,全国,政策文件库,2022,2025-06-12 22:43:39
关于推进健康促进发展的指导意见,医政发〔2022〕054号,2022-05-10,健康促进,国家卫健委,2022-06-01,省级,试点地区,政策文件库,2022,2025-06-12 22:43:39
健康促进管理办法,医政发〔2022〕116号,2022-04-05,健康促进,国家医保局,2022-05-01,市级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于规范健康促进的规定,药监发〔2022〕020号,2022-08-06,健康促进,国家卫健委,2022-09-01,国家级,特定机构,政策文件库,2022,2025-06-12 22:43:39
健康促进监督管理办法,药监发〔2022〕066号,2022-04-01,健康促进,国家医保局,2022-05-01,市级,全国,政策文件库,2022,2025-06-12 22:43:39
关于健康促进工作的通知,医政发〔2022〕023号,2022-01-25,健康促进,各省卫健委,2022-02-01,市级,特定机构,政策文件库,2022,2025-06-12 22:43:39
关于规范健康促进的规定,药监发〔2022〕034号,2022-11-19,健康促进,国家卫健委,2022-12-01,省级,全国,政策文件库,2022,2025-06-12 22:43:39
健康促进监督管理办法,药监发〔2022〕024号,2022-07-24,健康促进,各省卫健委,2022-08-01,国家级,试点地区,政策文件库,2022,2025-06-12 22:43:39
关于规范医疗卫生的规定,国卫发〔2023〕172号,2023-06-28,医疗卫生,国家医保局,2023-07-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
医疗卫生监督管理办法,药监发〔2023〕071号,2023-03-25,医疗卫生,国家医保局,2023-04-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于医疗卫生工作的通知,药监发〔2023〕136号,2023-10-06,医疗卫生,各省卫健委,2023-11-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
关于医疗卫生工作的通知,药监发〔2023〕037号,2023-03-28,医疗卫生,国家卫健委,2023-04-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于规范医疗卫生的规定,卫健发〔2023〕162号,2023-10-11,医疗卫生,国家药监局,2023-11-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
关于规范医疗卫生的规定,医政发〔2023〕003号,2023-04-16,医疗卫生,国家医保局,2023-05-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
医疗卫生管理办法,国卫发〔2023〕137号,2023-09-28,医疗卫生,国家医保局,2023-10-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
关于医疗卫生工作的通知,国卫发〔2023〕166号,2023-05-27,医疗卫生,国家药监局,2023-06-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
关于规范医疗卫生的规定,药监发〔2023〕075号,2023-06-26,医疗卫生,国家药监局,2023-07-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进医疗卫生发展的指导意见,药监发〔2023〕133号,2023-07-02,医疗卫生,国家药监局,2023-08-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
药品管理监督管理办法,药监发〔2023〕177号,2023-08-20,药品管理,国家医保局,2023-09-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于药品管理工作的通知,药监发〔2023〕024号,2023-02-21,药品管理,国家药监局,2023-03-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,药监发〔2023〕026号,2023-01-17,药品管理,国家医保局,2023-02-01,国家级,试点地区,政策文件库,2023,2025-06-12 22:43:39
药品管理实施方案,国卫发〔2023〕077号,2023-09-09,药品管理,国家医保局,2023-10-01,市级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,药监发〔2023〕057号,2023-07-15,药品管理,各省卫健委,2023-08-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于规范药品管理的规定,医政发〔2023〕030号,2023-04-01,药品管理,各省卫健委,2023-05-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于规范医保政策的规定,药监发〔2023〕009号,2023-12-14,医保政策,国家药监局,2023-01-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
医保政策实施方案,卫健发〔2023〕194号,2023-12-07,医保政策,国家医保局,2023-01-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
医保政策实施方案,医政发〔2023〕056号,2023-06-11,医保政策,国家医保局,2023-07-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于规范医保政策的规定,国卫发〔2023〕024号,2023-02-27,医保政策,国家药监局,2023-03-01,市级,特定机构,政策文件库,2023,2025-06-12 22:43:39
医保政策管理办法,药监发〔2023〕159号,2023-12-01,医保政策,国家药监局,2023-01-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
公共卫生实施方案,药监发〔2023〕113号,2023-05-01,公共卫生,国家药监局,2023-06-01,国家级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进公共卫生发展的指导意见,国卫发〔2023〕135号,2023-06-25,公共卫生,国家卫健委,2023-07-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进公共卫生发展的指导意见,卫健发〔2023〕029号,2023-05-14,公共卫生,国家医保局,2023-06-01,市级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于推进公共卫生发展的指导意见,医政发〔2023〕165号,2023-12-21,公共卫生,国家药监局,2023-01-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
公共卫生管理办法,医政发〔2023〕169号,2023-02-18,公共卫生,国家卫健委,2023-03-01,省级,全国,政策文件库,2023,2025-06-12 22:43:39
公共卫生实施方案,药监发〔2023〕131号,2023-09-15,公共卫生,国家药监局,2023-10-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
医院管理监督管理办法,医政发〔2023〕030号,2023-09-11,医院管理,国家药监局,2023-10-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
医院管理实施方案,药监发〔2023〕144号,2023-03-05,医院管理,国家医保局,2023-04-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进医院管理发展的指导意见,卫健发〔2023〕143号,2023-11-15,医院管理,国家药监局,2023-12-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
医院管理监督管理办法,国卫发〔2023〕060号,2023-10-12,医院管理,国家医保局,2023-11-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
关于医院管理工作的通知,医政发〔2023〕135号,2023-01-27,医院管理,国家卫健委,2023-02-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
医院管理管理办法,国卫发〔2023〕002号,2023-11-10,医院管理,国家卫健委,2023-12-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
关于加强医院管理管理的意见,医政发〔2023〕175号,2023-05-06,医院管理,各省卫健委,2023-06-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于医院管理工作的通知,药监发〔2023〕036号,2023-04-17,医院管理,各省卫健委,2023-05-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于医院管理工作的通知,卫健发〔2023〕012号,2023-08-13,医院管理,国家药监局,2023-09-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于加强医院管理管理的意见,药监发〔2023〕041号,2023-06-07,医院管理,各省卫健委,2023-07-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于规范医师管理的规定,国卫发〔2023〕150号,2023-09-04,医师管理,国家卫健委,2023-10-01,市级,特定机构,政策文件库,2023,2025-06-12 22:43:39
医师管理管理办法,医政发〔2023〕087号,2023-03-06,医师管理,国家卫健委,2023-04-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
关于规范医师管理的规定,医政发〔2023〕119号,2023-09-03,医师管理,国家医保局,2023-10-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
医师管理监督管理办法,卫健发〔2023〕040号,2023-08-18,医师管理,国家医保局,2023-09-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于加强医师管理管理的意见,国卫发〔2023〕035号,2023-10-16,医师管理,国家医保局,2023-11-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于加强医师管理管理的意见,药监发〔2023〕188号,2023-08-19,医师管理,国家卫健委,2023-09-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
医师管理实施方案,卫健发〔2023〕109号,2023-05-11,医师管理,国家卫健委,2023-06-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于加强医师管理管理的意见,国卫发〔2023〕104号,2023-11-12,医师管理,国家药监局,2023-12-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
医师管理实施方案,卫健发〔2023〕172号,2023-10-10,医师管理,国家药监局,2023-11-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于医师管理工作的通知,国卫发〔2023〕106号,2023-01-14,医师管理,国家卫健委,2023-02-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
护理管理监督管理办法,医政发〔2023〕073号,2023-10-22,护理管理,国家医保局,2023-11-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
关于推进护理管理发展的指导意见,医政发〔2023〕038号,2023-05-06,护理管理,国家医保局,2023-06-01,市级,特定机构,政策文件库,2023,2025-06-12 22:43:39
护理管理实施方案,国卫发〔2023〕128号,2023-10-18,护理管理,国家药监局,2023-11-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
关于护理管理工作的通知,药监发〔2023〕161号,2023-09-13,护理管理,国家卫健委,2023-10-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进护理管理发展的指导意见,卫健发〔2023〕162号,2023-10-01,护理管理,国家药监局,2023-11-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于规范护理管理的规定,卫健发〔2023〕143号,2023-09-13,护理管理,国家卫健委,2023-10-01,国家级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进护理管理发展的指导意见,医政发〔2023〕003号,2023-07-09,护理管理,国家药监局,2023-08-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进护理管理发展的指导意见,国卫发〔2023〕191号,2023-04-22,护理管理,国家药监局,2023-05-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于护理管理工作的通知,国卫发〔2023〕156号,2023-04-19,护理管理,国家卫健委,2023-05-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于规范中医药的规定,医政发〔2023〕023号,2023-03-20,中医药,国家卫健委,2023-04-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
中医药实施方案,药监发〔2023〕105号,2023-09-11,中医药,国家医保局,2023-10-01,省级,全国,政策文件库,2023,2025-06-12 22:43:39
关于推进中医药发展的指导意见,国卫发〔2023〕001号,2023-08-08,中医药,国家药监局,2023-09-01,国家级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于规范中医药的规定,国卫发〔2023〕083号,2023-05-25,中医药,各省卫健委,2023-06-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
中医药管理办法,医政发〔2023〕008号,2023-08-24,中医药,各省卫健委,2023-09-01,国家级,试点地区,政策文件库,2023,2025-06-12 22:43:39
中医药管理办法,医政发〔2023〕146号,2023-09-01,中医药,国家医保局,2023-10-01,省级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于中医药工作的通知,医政发〔2023〕023号,2023-11-11,中医药,国家药监局,2023-12-01,省级,全国,政策文件库,2023,2025-06-12 22:43:39
关于规范中医药的规定,药监发〔2023〕048号,2023-08-08,中医药,国家卫健委,2023-09-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
中医药实施方案,医政发〔2023〕048号,2023-06-01,中医药,各省卫健委,2023-07-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
关于中医药工作的通知,卫健发〔2023〕007号,2023-03-03,中医药,国家医保局,2023-04-01,国家级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于加强疾病防控管理的意见,国卫发〔2023〕004号,2023-10-17,疾病防控,各省卫健委,2023-11-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于规范疾病防控的规定,卫健发〔2023〕003号,2023-05-20,疾病防控,国家医保局,2023-06-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
关于疾病防控工作的通知,国卫发〔2023〕092号,2023-11-16,疾病防控,国家药监局,2023-12-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
疾病防控监督管理办法,医政发〔2023〕015号,2023-03-04,疾病防控,国家卫健委,2023-04-01,市级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于推进疾病防控发展的指导意见,药监发〔2023〕068号,2023-10-28,疾病防控,各省卫健委,2023-11-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
疾病防控监督管理办法,卫健发〔2023〕193号,2023-06-15,疾病防控,各省卫健委,2023-07-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于推进疾病防控发展的指导意见,医政发〔2023〕121号,2023-05-13,疾病防控,国家医保局,2023-06-01,市级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于规范疾病防控的规定,国卫发〔2023〕140号,2023-05-25,疾病防控,各省卫健委,2023-06-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
健康促进监督管理办法,卫健发〔2023〕135号,2023-08-15,健康促进,国家医保局,2023-09-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于加强健康促进管理的意见,国卫发〔2023〕054号,2023-05-14,健康促进,国家卫健委,2023-06-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于健康促进工作的通知,药监发〔2023〕098号,2023-09-03,健康促进,国家药监局,2023-10-01,市级,试点地区,政策文件库,2023,2025-06-12 22:43:39
关于推进健康促进发展的指导意见,国卫发〔2023〕051号,2023-04-26,健康促进,国家药监局,2023-05-01,省级,全国,政策文件库,2023,2025-06-12 22:43:39
关于加强健康促进管理的意见,医政发〔2023〕114号,2023-11-16,健康促进,各省卫健委,2023-12-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
健康促进监督管理办法,药监发〔2023〕005号,2023-07-11,健康促进,国家药监局,2023-08-01,省级,试点地区,政策文件库,2023,2025-06-12 22:43:39
健康促进实施方案,卫健发〔2023〕177号,2023-06-21,健康促进,国家医保局,2023-07-01,省级,全国,政策文件库,2023,2025-06-12 22:43:39
健康促进监督管理办法,国卫发〔2023〕002号,2023-04-01,健康促进,国家卫健委,2023-05-01,市级,全国,政策文件库,2023,2025-06-12 22:43:39
关于规范健康促进的规定,医政发〔2023〕082号,2023-02-10,健康促进,国家药监局,2023-03-01,国家级,特定机构,政策文件库,2023,2025-06-12 22:43:39
关于推进健康促进发展的指导意见,卫健发〔2023〕098号,2023-08-14,健康促进,国家药监局,2023-09-01,国家级,全国,政策文件库,2023,2025-06-12 22:43:39
医疗卫生管理办法,卫健发〔2024〕174号,2024-01-17,医疗卫生,国家药监局,2024-02-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
关于医疗卫生工作的通知,国卫发〔2024〕087号,2024-12-28,医疗卫生,各省卫健委,2024-01-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医疗卫生实施方案,国卫发〔2024〕114号,2024-06-18,医疗卫生,国家卫健委,2024-07-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于医疗卫生工作的通知,国卫发〔2024〕125号,2024-04-14,医疗卫生,国家药监局,2024-05-01,国家级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于推进医疗卫生发展的指导意见,国卫发〔2024〕143号,2024-01-04,医疗卫生,国家医保局,2024-02-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于规范医疗卫生的规定,药监发〔2024〕057号,2024-05-21,医疗卫生,国家卫健委,2024-06-01,省级,试点地区,政策文件库,2024,2025-06-12 22:43:39
医疗卫生实施方案,卫健发〔2024〕175号,2024-10-23,医疗卫生,国家医保局,2024-11-01,市级,全国,政策文件库,2024,2025-06-12 22:43:39
医疗卫生管理办法,国卫发〔2024〕147号,2024-01-11,医疗卫生,国家药监局,2024-02-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医疗卫生管理办法,国卫发〔2024〕107号,2024-10-11,医疗卫生,各省卫健委,2024-11-01,市级,试点地区,政策文件库,2024,2025-06-12 22:43:39
医疗卫生监督管理办法,药监发〔2024〕083号,2024-09-13,医疗卫生,各省卫健委,2024-10-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
药品管理监督管理办法,药监发〔2024〕014号,2024-07-16,药品管理,各省卫健委,2024-08-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
药品管理实施方案,卫健发〔2024〕089号,2024-07-09,药品管理,国家药监局,2024-08-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于加强药品管理管理的意见,药监发〔2024〕190号,2024-05-22,药品管理,国家药监局,2024-06-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
药品管理管理办法,医政发〔2024〕151号,2024-08-05,药品管理,国家医保局,2024-09-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于规范药品管理的规定,卫健发〔2024〕061号,2024-02-19,药品管理,国家药监局,2024-03-01,市级,全国,政策文件库,2024,2025-06-12 22:43:39
药品管理管理办法,国卫发〔2024〕072号,2024-11-01,药品管理,各省卫健委,2024-12-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
药品管理实施方案,医政发〔2024〕117号,2024-02-11,药品管理,各省卫健委,2024-03-01,市级,全国,政策文件库,2024,2025-06-12 22:43:39
药品管理监督管理办法,卫健发〔2024〕065号,2024-11-05,药品管理,国家卫健委,2024-12-01,国家级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医保政策监督管理办法,国卫发〔2024〕010号,2024-01-05,医保政策,各省卫健委,2024-02-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
医保政策实施方案,药监发〔2024〕028号,2024-07-05,医保政策,国家药监局,2024-08-01,省级,试点地区,政策文件库,2024,2025-06-12 22:43:39
医保政策实施方案,药监发〔2024〕110号,2024-01-05,医保政策,国家药监局,2024-02-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
关于医保政策工作的通知,卫健发〔2024〕031号,2024-12-09,医保政策,各省卫健委,2024-01-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
关于推进医保政策发展的指导意见,医政发〔2024〕187号,2024-04-24,医保政策,国家医保局,2024-05-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
关于加强医保政策管理的意见,卫健发〔2024〕139号,2024-02-16,医保政策,国家药监局,2024-03-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
医保政策监督管理办法,卫健发〔2024〕127号,2024-11-09,医保政策,国家卫健委,2024-12-01,市级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于推进医保政策发展的指导意见,医政发〔2024〕029号,2024-02-28,医保政策,国家医保局,2024-03-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于加强公共卫生管理的意见,医政发〔2024〕185号,2024-05-12,公共卫生,国家药监局,2024-06-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于推进公共卫生发展的指导意见,卫健发〔2024〕138号,2024-01-09,公共卫生,国家卫健委,2024-02-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于加强公共卫生管理的意见,国卫发〔2024〕133号,2024-11-17,公共卫生,国家医保局,2024-12-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
关于规范公共卫生的规定,国卫发〔2024〕195号,2024-05-02,公共卫生,国家药监局,2024-06-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
公共卫生监督管理办法,卫健发〔2024〕198号,2024-07-03,公共卫生,国家药监局,2024-08-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于加强公共卫生管理的意见,药监发〔2024〕058号,2024-01-23,公共卫生,国家药监局,2024-02-01,国家级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医院管理管理办法,医政发〔2024〕022号,2024-02-11,医院管理,国家卫健委,2024-03-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医院管理监督管理办法,国卫发〔2024〕119号,2024-09-02,医院管理,国家医保局,2024-10-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于医院管理工作的通知,卫健发〔2024〕017号,2024-12-17,医院管理,国家医保局,2024-01-01,省级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于推进医院管理发展的指导意见,药监发〔2024〕112号,2024-08-27,医院管理,国家卫健委,2024-09-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于加强医院管理管理的意见,卫健发〔2024〕131号,2024-06-15,医院管理,国家医保局,2024-07-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
医院管理管理办法,国卫发〔2024〕011号,2024-11-28,医院管理,国家卫健委,2024-12-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
关于推进医院管理发展的指导意见,国卫发〔2024〕183号,2024-04-13,医院管理,国家医保局,2024-05-01,国家级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医院管理实施方案,医政发〔2024〕158号,2024-05-12,医院管理,各省卫健委,2024-06-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
