医院名称,医院等级,医院类型,床位数,地址,电话,省份,建立时间,员工数量,年门诊量,数据来源,更新时间,疾病名称,年份,月份,发病人数,死亡人数,治愈人数,病死率,治愈率,统计日期,政策标题,文号,发布日期,政策类型,发布部门,实施日期,政策级别,适用范围,研究标题,研究领域,研究类型,发表期刊,发表年份,发表月份,影响因子,样本量,研究机构,第一作者,通讯作者,基金支持,关键词
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肝炎,2021.0,7.0,43377.0,1080.0,35982.0,2.49,82.95,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肝炎,2021.0,8.0,37885.0,455.0,34636.0,1.2,91.42,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肝炎,2021.0,9.0,36696.0,1226.0,33385.0,3.34,90.98,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肝炎,2021.0,10.0,4264.0,98.0,3995.0,2.3,93.69,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肝炎,2021.0,11.0,37836.0,890.0,33380.0,2.35,88.22,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肝炎,2021.0,12.0,12508.0,72.0,10123.0,0.58,80.93,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,1.0,8610.0,373.0,6622.0,4.33,76.91,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,2.0,13196.0,591.0,9542.0,4.48,72.31,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,3.0,31521.0,1021.0,27242.0,3.24,86.42,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,4.0,8315.0,388.0,7489.0,4.67,90.07,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,5.0,4547.0,200.0,3945.0,4.4,86.76,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,6.0,14432.0,320.0,10889.0,2.22,75.45,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,7.0,42214.0,800.0,30948.0,1.9,73.31,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,8.0,37796.0,717.0,30928.0,1.9,81.83,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,9.0,44685.0,1027.0,39811.0,2.3,89.09,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,10.0,32184.0,284.0,25729.0,0.88,79.94,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,11.0,5950.0,48.0,4294.0,0.81,72.17,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,肺炎,2021.0,12.0,35374.0,301.0,32513.0,0.85,91.91,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,1.0,10763.0,436.0,8575.0,4.05,79.67,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,2.0,15937.0,331.0,14390.0,2.08,90.29,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,3.0,20280.0,276.0,18594.0,1.36,91.69,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,4.0,46277.0,1500.0,33574.0,3.24,72.55,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,5.0,38804.0,1461.0,28743.0,3.77,74.07,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,6.0,6369.0,86.0,4703.0,1.35,73.84,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,7.0,35902.0,1459.0,27060.0,4.06,75.37,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,8.0,22705.0,360.0,20722.0,1.59,91.27,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,9.0,18214.0,67.0,14006.0,0.37,76.9,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,10.0,49319.0,1243.0,38493.0,2.52,78.05,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,11.0,39940.0,153.0,37779.0,0.38,94.59,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,胃炎,2021.0,12.0,24618.0,928.0,21089.0,3.77,85.66,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,1.0,32941.0,748.0,25131.0,2.27,76.29,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,2.0,37563.0,1401.0,27160.0,3.73,72.31,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,3.0,15992.0,250.0,14694.0,1.56,91.88,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,4.0,9576.0,100.0,8217.0,1.04,85.81,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,5.0,10795.0,264.0,8141.0,2.45,75.41,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,6.0,36051.0,413.0,33980.0,1.15,94.26,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,7.0,32345.0,701.0,24058.0,2.17,74.38,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,8.0,21920.0,539.0,18295.0,2.46,83.46,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,9.0,38566.0,797.0,36529.0,2.07,94.72,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,10.0,12712.0,350.0,10671.0,2.75,83.94,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,11.0,37446.0,768.0,34096.0,2.05,91.05,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,关节炎,2021.0,12.0,4392.0,163.0,3944.0,3.71,89.8,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,1.0,25403.0,991.0,22805.0,3.9,89.77,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,2.0,24324.0,706.0,21877.0,2.9,89.94,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,3.0,49212.0,1133.0,35672.0,2.3,72.49,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,4.0,43536.0,757.0,41238.0,1.74,94.72,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,5.0,36872.0,339.0,28435.0,0.92,77.12,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,6.0,48366.0,497.0,43439.0,1.03,89.81,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,7.0,37728.0,298.0,31099.0,0.79,82.43,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,8.0,18006.0,693.0,15626.0,3.85,86.78,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,9.0,4292.0,204.0,3934.0,4.75,91.66,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,10.0,16537.0,641.0,14026.0,3.88,84.82,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,11.0,47167.0,1773.0,35673.0,3.76,75.63,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,骨质疏松,2021.0,12.0,46955.0,248.0,37282.0,0.53,79.4,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,1.0,47607.0,896.0,41658.0,1.88,87.5,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,2.0,8030.0,277.0,6303.0,3.45,78.49,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,3.0,2039.0,15.0,1799.0,0.74,88.23,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,4.0,43968.0,553.0,34211.0,1.26,77.81,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,5.0,49051.0,348.0,35526.0,0.71,72.43,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,6.0,20962.0,797.0,15384.0,3.8,73.39,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,7.0,33245.0,1384.0,29147.0,4.16,87.67,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,8.0,1232.0,44.0,981.0,3.57,79.63,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,9.0,4883.0,8.0,3964.0,0.16,81.18,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,10.0,7640.0,249.0,6698.0,3.26,87.67,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,11.0,32075.0,907.0,24179.0,2.83,75.38,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,抑郁症,2021.0,12.0,26747.0,105.0,22267.0,0.39,83.25,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,1.0,23104.0,863.0,16322.0,3.74,70.65,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,2.0,42570.0,176.0,39222.0,0.41,92.14,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,3.0,32722.0,213.0,24493.0,0.65,74.85,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,4.0,35426.0,1359.0,28082.0,3.84,79.27,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,5.0,13242.0,264.0,10742.0,1.99,81.12,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,6.0,35814.0,55.0,31310.0,0.15,87.42,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,7.0,18846.0,26.0,13500.0,0.14,71.63,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,8.0,43695.0,1053.0,39394.0,2.41,90.16,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,9.0,32440.0,326.0,26532.0,1.0,81.79,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,10.0,29884.0,644.0,21880.0,2.15,73.22,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,11.0,27951.0,315.0,25733.0,1.13,92.06,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,焦虑症,2021.0,12.0,43304.0,1485.0,33345.0,3.43,77.0,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,1.0,47539.0,1668.0,40037.0,3.51,84.22,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,2.0,39054.0,1199.0,34579.0,3.07,88.54,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,3.0,4888.0,64.0,4155.0,1.31,85.0,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,4.0,32801.0,925.0,30295.0,2.82,92.36,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,5.0,31726.0,1286.0,23829.0,4.05,75.11,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,6.0,45073.0,1709.0,38910.0,3.79,86.33,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,7.0,45425.0,2182.0,32359.0,4.8,71.24,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,8.0,34167.0,725.0,29022.0,2.12,84.94,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,9.0,33339.0,105.0,24660.0,0.31,73.97,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,10.0,21140.0,120.0,17169.0,0.57,81.22,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,11.0,40910.0,809.0,37756.0,1.98,92.29,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,失眠症,2021.0,12.0,33645.0,403.0,29563.0,1.2,87.87,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,1.0,34110.0,1506.0,32144.0,4.42,94.24,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,2.0,11477.0,176.0,8471.0,1.53,73.81,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,3.0,45203.0,1859.0,37944.0,4.11,83.94,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,4.0,33787.0,1270.0,25326.0,3.76,74.96,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,5.0,27505.0,973.0,22206.0,3.54,80.73,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,6.0,49056.0,822.0,45463.0,1.68,92.68,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,7.0,26240.0,290.0,24487.0,1.11,93.32,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,8.0,48688.0,1751.0,36921.0,3.6,75.83,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,9.0,4446.0,69.0,3612.0,1.55,81.24,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,10.0,28539.0,377.0,24651.0,1.32,86.38,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,11.0,39103.0,817.0,31264.0,2.09,79.95,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,哮喘,2021.0,12.0,48806.0,197.0,43570.0,0.4,89.27,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,1.0,15629.0,248.0,12033.0,1.59,76.99,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,2.0,20284.0,22.0,15281.0,0.11,75.34,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,3.0,22912.0,141.0,20571.0,0.62,89.78,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,4.0,37298.0,1027.0,29628.0,2.75,79.44,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,5.0,13993.0,170.0,10416.0,1.21,74.44,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,6.0,47964.0,1983.0,36195.0,4.13,75.46,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,7.0,19142.0,199.0,15473.0,1.04,80.83,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,8.0,25473.0,1268.0,21312.0,4.98,83.67,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,9.0,9329.0,325.0,8000.0,3.48,85.75,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,10.0,5902.0,23.0,4701.0,0.39,79.65,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,11.0,19164.0,381.0,16632.0,1.99,86.79,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,过敏性鼻炎,2021.0,12.0,21467.0,374.0,16145.0,1.74,75.21,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,1.0,27945.0,907.0,22651.0,3.25,81.06,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,2.0,17009.0,526.0,12285.0,3.09,72.23,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,3.0,44140.0,2206.0,39462.0,5.0,89.4,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,4.0,15229.0,42.0,11430.0,0.28,75.05,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,5.0,23877.0,1190.0,21978.0,4.98,92.05,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,6.0,44537.0,601.0,34675.0,1.35,77.86,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,7.0,5140.0,30.0,4473.0,0.58,87.02,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,8.0,44649.0,2045.0,41234.0,4.58,92.35,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,9.0,16823.0,708.0,13006.0,4.21,77.31,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,10.0,41473.0,1309.0,37249.0,3.16,89.82,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,11.0,17867.0,475.0,13156.0,2.66,73.63,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,湿疹,2021.0,12.0,19814.0,642.0,15811.0,3.24,79.8,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,1.0,9386.0,390.0,8056.0,4.16,85.83,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,2.0,18315.0,805.0,15777.0,4.4,86.14,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,3.0,35773.0,1387.0,33312.0,3.88,93.12,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,4.0,13248.0,246.0,9695.0,1.86,73.18,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,5.0,41903.0,2013.0,29474.0,4.8,70.34,2021-05-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,6.0,41733.0,1366.0,39411.0,3.27,94.44,2021-06-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,7.0,2884.0,89.0,2636.0,3.09,91.4,2021-07-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,8.0,31236.0,774.0,29591.0,2.48,94.73,2021-08-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,9.0,38184.0,476.0,32648.0,1.25,85.5,2021-09-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,10.0,10851.0,11.0,7626.0,0.1,70.28,2021-10-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,11.0,29567.0,1126.0,22688.0,3.81,76.73,2021-11-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,白内障,2021.0,12.0,39293.0,1828.0,32132.0,4.65,81.78,2021-12-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,青光眼,2021.0,1.0,45813.0,1130.0,33138.0,2.47,72.33,2021-01-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,青光眼,2021.0,2.0,22883.0,286.0,17366.0,1.25,75.89,2021-02-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,青光眼,2021.0,3.0,25160.0,865.0,18482.0,3.44,73.46,2021-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,青光眼,2021.0,4.0,49037.0,1083.0,44993.0,2.21,91.75,2021-04-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,疾病监测系统,2025-06-12 22:43:38,青光眼,2021.0,5.0,40461.0,1318.0,31702.0,3.26,78.35,2021-05-01,,,,,,,,,,,,,,,,,,,,,
